category_list,Automotive & Sports,Blanks,Cleantech / Semiconductors,Entertainment,Health,Manufacturing,"News, Search and Messaging",Others,"Social, Finance, Analytics, Advertising",main_sector
Fi0nce Technology,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Fi0ncial Exchanges,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
Fi0ncial Services,0,0,0,0,0,0,0,0,1,"Social, Finance, Analytics, Advertising"
FinTech,0,0,0,0,0,0,0,0,1,Health
Fitness,0,0,0,0,1,0,0,0,0,Others
Flash Sales,0,0,0,0,0,0,0,1,0,Others
Flash Storage,0,0,0,0,0,0,0,1,0,Others
Fleet Ma0gement,0,0,0,0,0,0,0,1,0,Others
Flowers,0,0,0,0,0,0,0,1,0,Manufacturing
Fmcg,0,0,0,0,0,1,0,0,0,Manufacturing
Food Processing,0,0,0,0,0,1,0,0,0,"News, Search and Messaging"
Forums,0,0,0,0,0,0,1,0,0,"Social, Finance, Analytics, Advertising"
Fraud Detection,0,0,0,0,0,0,0,0,1,Others
Freelancers,0,0,0,0,0,0,0,1,0,"Social, Finance, Analytics, Advertising"
Freemium,0,0,0,0,0,0,0,0,1,Entertainment
FreetoPlay Gaming,0,0,0,1,0,0,0,0,0,Others
Fruit,0,0,0,0,0,0,0,1,0,Cleantech / Semiconductors
Fuel Cells,0,0,1,0,0,0,0,0,0,Automotive & Sports
Fuels,1,0,0,0,0,0,0,0,0,Cleantech / Semiconductors
Funeral Industry,0,0,1,0,0,0,0,0,0,Manufacturing
Furniture,0,0,0,0,0,1,0,0,0,Manufacturing
Gadget,0,0,0,0,0,1,0,0,0,Entertainment
Gambling,0,0,0,1,0,0,0,0,0,Entertainment
Game,0,0,0,1,0,0,0,0,0,Entertainment
Game Mechanics,0,0,0,1,0,0,0,0,0,Entertainment
Games,0,0,0,1,0,0,0,0,0,Entertainment
Gamification,0,0,0,1,0,0,0,0,0,Cleantech / Semiconductors
Gas,0,0,1,0,0,0,0,0,0,Others
Gay & Lesbian,0,0,0,0,0,0,0,1,0,Others
General Public Worldwide,0,0,0,0,0,0,0,1,0,Health
Genetic Testing,0,0,0,0,1,0,0,0,0,Others
Geospatial,0,0,0,0,0,0,0,1,0,Others
Gift Card,0,0,0,0,0,0,0,1,0,Others
Gift Exchange,0,0,0,0,0,0,0,1,0,Others
Gift Registries,0,0,0,0,0,0,0,1,0,"Social, Finance, Analytics, Advertising"
Gold,0,0,0,0,0,0,0,0,1,Others
Gover0nce,0,0,0,0,0,0,0,1,0,Others
Government Innovation,0,0,0,0,0,0,0,1,0,Others
Governments,0,0,0,0,0,0,0,1,0,"News, Search and Messaging"
Gps,0,0,0,0,0,0,1,0,0,"News, Search and Messaging"
Graphics,0,0,0,0,0,0,1,0,0,Cleantech / Semiconductors
Green,0,0,1,0,0,0,0,0,0,Cleantech / Semiconductors
Green Consumer Goods,0,0,1,0,0,0,0,0,0,Manufacturing
